Ad	soyad	il	ilce	posta
Reşide	Ar	Van	Gülşehir	17950
Türkdoğan	Demirdelen	Bolu	Yapraklı	61300
Savgat	Yuka	Giresun	Kırıkhan	42480
Deha	Çakaloz	Samsun	Susurluk	31040
Refih	Tanrıverdi	Aksaray	Beyşehir	31200
İmge	Abat	Burdur	Acıgöl	45260
Şehrud	Acun	Şırnak	Yedisu	58800
Şakayık	Kırmızıgül	Bursa	Gördes	16415
Gelincik	Takın	Mersin	Yeşilli	17400
Harise	Ceyhan	Antalya	Vezirköprü	47750
İnci	Uçar diler	Adana	Kelkit	34899
Tokur	Çamsar	Çanakkale	Alacakaya	61800
Türkan	Aytop	Kırklareli	Boztepe	8000
Sarim	Artuç	Bolu	Başiskele	64800
Rahatefza	Aksözcü	Afyonkarahisar	Delice	7130
Tokuzer	Güneş ergen	Bitlis	Seyitgazi	6320
Boylan	Uyan	Mersin	Hasanbeyli	24450
Urluk	Zorver	Konya	Muğla	3060
Münzir	Ertan	Şırnak	Vezirköprü	31770
Cihansuz	Erkmen	Aksaray	Pınarbaşı	38280
Erçetin	Altay	Konya	Karahallı	6890
Hıfzı	Toprak	Ankara	Bağlar	46400
İlksen	Atabey	Karaman	Biga	48600
Yücesoy	Özöncel	Kırşehir	Oğuzlar(Karaören)	23000
Sarkan	Kır	Kırşehir	Doğanyurt	32406
Erşat	Baştürk	Diyarbakır	Taşköprü	70600
Makrun	Koştaş	Nevşehir	Pervari	60650
Ayvaz	Gökçe	Kütahya	Erciş	79600
Şiyar	Üzüm	Denizli	Yenice	45830
Keriman	Karaçelebi	Samsun	Şuhut	34797
Mekremet	Topuz	Muğla	İskilip	66560
Savaş	Kıralp	Düzce	Ümraniye	60610
Demir	Kuşcu	Malatya	İspir	20600
Talut	İzolluoğlu	Ankara	İslahiye	43950
Nazlıhan	Bulanık	Muş	Beyağaç	26150
Şanveri	Duymuş	Konya	Akçaabat	1900
Şeminur	İkbal	Çanakkale	Çay	34755
Ozansoy	Ağca	Hakkari	Siverek	14780
Neşegül	Göncüoğlu	Amasya	Çobanlar	55060
Hüsamettin	Gögüş	Bartın	Akkuş	67313
Zeynullah	Gürcanlı	Eskişehir	Torul	1050
Ersezen	Danış	Gaziantep	Sorgun	13000
Hüdaverdi	Altınok	Bitlis	Gaziosmanpaşa	7880
Sülünbike	Güden	Kocaeli	Niksar	47060
Şükrü	Bahtiyar	Çanakkale	Bitlis	9700
Batıray	Başoğul	Kahramanmaraş	Esenyurt	1150
Humeyra	Gülbay	Van	Yenifakılı	7110
Günnur	Baysal	Zonguldak	Bolvadin	20245
Gazanfer	Öksüzce	Kayseri	Marmaris	60870
Merdüm	Çavuş	Niğde	Karadenizereğli	6190
Gülüşan	Turmuş	Antalya	Aladağ(Karsantı)	12700
Tiner	Çalı	Bingöl	Laçin	65000
Baysal	Özgüler	Kırıkkale	Kadışehri	60235
Havin	Çilesiz	Diyarbakır	İspir	56760
Örgen	Konak	Kırklareli	Kartepe	33740
Ayasun	Oğultürk	Konya	Maden	45400
Üsgen	Karamızrak	Rize	Yavuzeli	6810
Mehmet	Eker	Uşak	İkizce	25060
Asiye	Agay	Mardin	Kuyucak	9290
Özaltın	Şahiner	Kahramanmaraş	Trabzon	68900
Derin	Zımba	Erzincan	Akseki	35210
Huzur	Gülatar	Konya	Gebze	7460
Beyaz	Öztüfekçi	Aksaray	Lüleburgaz	3860
Özgürel	Altınkıran	Konya	Tokat	32500
Öztoygar	İnankul	Kütahya	Feke	51660
Oyal	Akbay	Gümüşhane	Yenişarbademli	61300
Fahriye	Aydın özgül	Samsun	Çanakçı	34782
Vafe	Çakır	Kahramanmaraş	Beşikdüzü	49500
Akel	Şenoğlu	Çankırı	Seydişehir	15900
Hucurat	Bilal	Adıyaman	Beypazarı	38600
Nedim	Derinpınar	Tokat	Çamlıyayla	26970
Sunay	İlikçi	Elazığ	Horasan	75600
Hasret	Altunhan	Artvin	Bor	60610
Adile	Alemdaroğlu	Kayseri	Taşlıçay	15700
Işıker	Kandil	Samsun	Kazan	29600
Taşkan	Çıkar	Ardahan	Koyulhisar	33740
Karaman	Abacılı	Elazığ	Köprübaşı	27900
Ezna	Eştürk	Diyarbakır	Gölbaşı	54055
Karabuğra	Yavcunal	Çorum	Harran	33345
Gülsel	Özüyılmaz	Konya	Geyve	12800
Gökhan	Özer	Kilis	Hilvan	17260
Abdünnur	Lengerli	Rize	Patnos	39570
Mersa	Kaynar	Kırklareli	Çandır	39310
Hasip - Hasbi	Sezen	Denizli	Han	63900
Sahur	Söylem pehlivan	Kastamonu	Baklan	56500
Katade	Çiçek	Van	Selendi	32800
Aldemir	Sağında	Bolu	Tavşanlı	9965
Selmin	Akmeşe	İstanbul	Çavdarhisar	26880
Hizran	Özler	Çanakkale	Beyoğlu	26000
Urza	İşlek	Giresun	Çüngüş	7112
Daniyal	İzci	Bitlis	Mazgirt	35880
Mürşid	Çifci	Sivas	Taşlıçay	59400
Şükufe	Tan	Düzce	Kuluncak	35890
Siva	Furkan	Bayburt	Akyazı	66510
Gizem	Fendoğlu	Ordu	Seyhan	37650
Ecre	Korkutata	Adana	Gülağaç(Ağaçlı)	78720
Zehra	Ünlü	Kütahya	Pınarbaşı	17400
Osman	Kolukısa	Eskişehir	Döşemealtı	44800
Kutay	Duru	Gümüşhane	Havza	41180
Nayab	Özmetin	Kahramanmaraş	Özalp	42430
