BIRTHDATE	CREATEDDATE	TELNR1	TELNR2
29.12.1951	2018-07-25 01:35:35.000	(555)3852463	(532)5898448
25.03.1957	2018-07-26 01:35:35.000	(537)5169149	(544)8434440
10.08.1986	2018-07-27 01:35:35.000	(534)9106933	(505)1625581
21.01.1993	2018-07-28 01:35:35.000	(543)9894233	(534)8242021
30.12.1940	2018-07-29 01:35:35.000	(534)9377724	(544)1214495
28.09.1946	2018-07-30 01:35:35.000	(553)7748268	(505)9661278
16.02.1985	2018-07-31 01:35:36.000	(537)7721023	(554)1253351
19.10.1999	2018-08-01 01:35:36.000	(555)5338918	(543)6486175
17.05.1964	2018-08-02 01:35:36.000	(533)9241683	(542)7216988
25.02.1972	2018-08-03 01:35:36.000	(533)4173988	(554)7592883
